District,ID,Lanes,Name
4,402261,3,4A5344 loc 66
4,402260,3,4A5344 loc 66
4,402262,3,4A5344 loc 67
4,402263,3,4A5344 loc 67
4,402264,3,4A5344 LOC 68
4,402265,3,4A5344 LOC 69
4,402266,3,4A5344 LOC 70
4,402268,3,4A5344 loc 72
4,402267,3,4A5344 loc 72
4,402270,4,4A5344 loc 73
4,402269,4,4A5344 loc 73
4,402272,5,4A5344 loc 76
4,402271,5,4A5344 loc 76
3,318106,1,EB Richard Blvd
3,318104,1,EB Richard Blvd
3,318105,1,WB Richard Blvd
3,318103,1,WB Richard Blvd
3,318102,3,Richard Blvd
3,318114,1,Richard Blvd
3,318113,3,Richard Blvd
3,318115,1,Richard Blvd
3,316773,3,E. of Pole Line Rd.
3,316778,3,E. of Pole Line Rd.
3,318017,3,West of Mace Blvd
3,318022,3,West of Mace Blvd
3,314015,2,SB Mace Blvd.
3,313979,3,Mace Blvd.
3,313980,2,Mace Blvd.
3,314013,3,SB Mace Blvd.
3,314014,2,SB Mace Blvd.
3,313981,2,Mace Blvd.
3,314025,3,NB Mace Blvd.
3,314026,2,NB Mace Blvd.
3,316783,3,E. of Mace Blvd
3,316788,3,E. of Mace Blvd
3,318067,3,W of CR 105d
3,318068,3,W of CR 105d
3,318077,3,E of CR 105d
3,318076,3,E of CR 105d
3,318055,1,W of Webster UC
3,318052,3,W of Webster UC
3,318053,3,W of Webster UC
3,318054,1,W of Webster UC
3,316803,3,E. of Webster UC
3,316808,3,E. of Webster UC
3,317028,3,JWO Enterprise BL
3,317033,3,JWO Enterprise BL
3,318126,4,Enterprise Blvd
3,314549,2,Enterprise Blvd
3,314548,5,Enterprise Blvd
3,318127,1,Enterprise Blvd
3,318142,4,E of Enterprise BL
3,318738,1,W. Capitol Ave
